	68_BH1	106_BH1	166_BH1	186_BH1	259_BH1	86_BH1	23_BH1	56_BH1	295_BH1	305_BH1	50_BH6	162_BH6	198_BH6	100_BH6	285_BH6	345_BH6	535_BH6	564_BH6	655_BH6	695_BH6	711_BH6
2a9a288945192f67cb1f0126a225233c	0	0	0	0	0	0.000153056255130863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0daf18761540fabc4ddd7b0e44890d04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00146353362061956
575ef6b8e21573d4a014984b7885b2d8	0	0	0	0	0	9.73994350832765E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64ff5b8c14dbd877554a9e58d4d6537f	0.00129958537038183	0	0	0	0	0	0.000394908009663631	0.000564294279466742	0	0	0	0	0	0	0	0	0	0	0	0	0
7edad47ded8a1af4e3dbc733d9a36315	0	0	0	0	0	2.78284100237933E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c95945c8eee162c32fd21be1eebccfae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f3a19aad85577abb405d364ca9e57b03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f46cceedb4bc70ca80082f0b227b2c43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5afa72009158bb93e063a3188236bee8	0	0	0	0	0	0.000194798870166553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f10f2e453284a80a2635d080f5294e5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
829463c82c9e012a7d5733161ea7cf49	0	0	0	0	0	0.000111313640095173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4203872425904efab98647eb3d8dd3d	0	0	0	0	0	0.00025045569021414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f43c7c7d747c0f3f3e1fc13075872090	0	0	0.00158836314997492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4298445561ca8dc648ee221b6f969abd	0	0	0	0	0	9.73994350832765E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c4599c5452aead1528935c8302640d6	0	0	0.00111464080699994	0.00087223291626564	0.000337932976626302	0	0	0	0.000292214568983511	0.000264346823031818	0	0	0.000160046093274863	0	0	0	0	0.000117574439316893	0	0	0
0591347c115f505c6b1d20d4143f3556	0	0	0	0	0	4.17426150356899E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e58437d7326cefb95a5c63a98ff9336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000164257555847569	0
52f67a9c148c9062ca0ed4a8419d952c	0	0	0	0	0	0	0	0	0.000208724692131079	0	0	0	0	0	0	0	0	0	0	0	0
1a8a54c4aa5c84da908c6a149119abcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60dfa57667df264a4688ee467e224e1b	0	0	0	0	0	0.000459168765392589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
750ba0e2bb9fe55d1cbb3b4eaadc1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cd29ccbf62154e55a8fbcad81726de18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024392227010326
